__run_id,__done,model_version,candidate_family,task_type,input_size,cpu_utilization,ram_usage,gpu_utilization,vram_usage,performance_score,performance_score_type,response_time,input_token_size,output_token_size,energy_consumption
run_23_repetition_1,TODO,v1,gemma,summarization,long, , , , , , , , , , 
run_24_repetition_1,TODO,v1,qwen,generation,short, , , , , , , , , , 
run_25_repetition_1,TODO,v1,qwen,generation,long, , , , , , , , , , 
run_26_repetition_1,TODO,v1,qwen,answering,short, , , , , , , , , , 
run_27_repetition_1,TODO,v1,qwen,answering,long, , , , , , , , , , 
run_28_repetition_1,TODO,v1,qwen,summarization,short, , , , , , , , , , 
run_29_repetition_1,TODO,v1,qwen,summarization,long, , , , , , , , , , 
run_30_repetition_1,TODO,v1.1,gemma,generation,short, , , , , , , , , , 
run_31_repetition_1,TODO,v1.1,gemma,generation,long, , , , , , , , , , 
run_32_repetition_1,TODO,v1.1,gemma,answering,short, , , , , , , , , , 
run_33_repetition_1,TODO,v1.1,gemma,answering,long, , , , , , , , , , 
run_34_repetition_1,TODO,v1.1,gemma,summarization,short, , , , , , , , , , 
run_35_repetition_1,TODO,v1.1,gemma,summarization,long, , , , , , , , , , 
run_36_repetition_1,TODO,v1.5,qwen,generation,short, , , , , , , , , , 
run_37_repetition_1,TODO,v1.5,qwen,generation,long, , , , , , , , , , 
run_38_repetition_1,TODO,v1.5,qwen,answering,short, , , , , , , , , , 
run_39_repetition_1,TODO,v1.5,qwen,answering,long, , , , , , , , , , 
run_40_repetition_1,TODO,v1.5,qwen,summarization,short, , , , , , , , , , 
run_41_repetition_1,TODO,v1.5,qwen,summarization,long, , , , , , , , , , 
run_42_repetition_1,TODO,v2,gemma,generation,short, , , , , , , , , , 
run_43_repetition_1,TODO,v2,gemma,generation,long, , , , , , , , , , 
run_44_repetition_1,TODO,v2,gemma,answering,short, , , , , , , , , , 
run_45_repetition_1,TODO,v2,gemma,answering,long, , , , , , , , , , 
run_46_repetition_1,TODO,v2,gemma,summarization,short, , , , , , , , , , 
run_47_repetition_1,TODO,v2,gemma,summarization,long, , , , , , , , , , 
run_48_repetition_1,TODO,v2,qwen,generation,short, , , , , , , , , , 
run_49_repetition_1,TODO,v2,qwen,generation,long, , , , , , , , , , 
run_50_repetition_1,TODO,v2,qwen,answering,short, , , , , , , , , , 
run_51_repetition_1,TODO,v2,qwen,answering,long, , , , , , , , , , 
run_52_repetition_1,TODO,v2,qwen,summarization,short, , , , , , , , , , 
run_53_repetition_1,TODO,v2,qwen,summarization,long, , , , , , , , , , 
run_54_repetition_1,TODO,v2.5,qwen,generation,short, , , , , , , , , , 
run_55_repetition_1,TODO,v2.5,qwen,generation,long, , , , , , , , , , 
run_56_repetition_1,TODO,v2.5,qwen,answering,short, , , , , , , , , , 
run_57_repetition_1,TODO,v2.5,qwen,answering,long, , , , , , , , , , 
run_58_repetition_1,TODO,v2.5,qwen,summarization,short, , , , , , , , , , 
run_59_repetition_1,TODO,v2.5,qwen,summarization,long, , , , , , , , , , 
run_0_repetition_2,TODO,v0.1,mistral,generation,short, , , , , , , , , , 
run_1_repetition_2,TODO,v0.1,mistral,generation,long, , , , , , , , , , 
run_2_repetition_2,TODO,v0.1,mistral,answering,short, , , , , , , , , , 
run_3_repetition_2,TODO,v0.1,mistral,answering,long, , , , , , , , , , 
run_4_repetition_2,TODO,v0.1,mistral,summarization,short, , , , , , , , , , 
run_5_repetition_2,TODO,v0.1,mistral,summarization,long, , , , , , , , , , 
run_6_repetition_2,TODO,v0.2,mistral,generation,short, , , , , , , , , , 
run_7_repetition_2,TODO,v0.2,mistral,generation,long, , , , , , , , , , 
run_8_repetition_2,TODO,v0.2,mistral,answering,short, , , , , , , , , , 
run_9_repetition_2,TODO,v0.2,mistral,answering,long, , , , , , , , , , 
run_10_repetition_2,TODO,v0.2,mistral,summarization,short, , , , , , , , , , 
run_11_repetition_2,TODO,v0.2,mistral,summarization,long, , , , , , , , , , 
run_12_repetition_2,TODO,v0.3,mistral,generation,short, , , , , , , , , , 
run_13_repetition_2,TODO,v0.3,mistral,generation,long, , , , , , , , , , 
run_14_repetition_2,TODO,v0.3,mistral,answering,short, , , , , , , , , , 
run_15_repetition_2,TODO,v0.3,mistral,answering,long, , , , , , , , , , 
run_16_repetition_2,TODO,v0.3,mistral,summarization,short, , , , , , , , , , 
run_17_repetition_2,TODO,v0.3,mistral,summarization,long, , , , , , , , , , 
run_18_repetition_2,TODO,v1,gemma,generation,short, , , , , , , , , , 
run_19_repetition_2,TODO,v1,gemma,generation,long, , , , , , , , , , 
run_20_repetition_2,TODO,v1,gemma,answering,short, , , , , , , , , , 
run_21_repetition_2,TODO,v1,gemma,answering,long, , , , , , , , , , 
run_22_repetition_2,TODO,v1,gemma,summarization,short, , , , , , , , , , 
run_23_repetition_2,TODO,v1,gemma,summarization,long, , , , , , , , , , 
run_24_repetition_2,TODO,v1,qwen,generation,short, , , , , , , , , , 
run_25_repetition_2,TODO,v1,qwen,generation,long, , , , , , , , , , 
run_26_repetition_2,TODO,v1,qwen,answering,short, , , , , , , , , , 
run_27_repetition_2,TODO,v1,qwen,answering,long, , , , , , , , , , 
run_28_repetition_2,TODO,v1,qwen,summarization,short, , , , , , , , , , 
run_29_repetition_2,TODO,v1,qwen,summarization,long, , , , , , , , , , 
run_30_repetition_2,TODO,v1.1,gemma,generation,short, , , , , , , , , , 
run_31_repetition_2,TODO,v1.1,gemma,generation,long, , , , , , , , , , 
run_32_repetition_2,TODO,v1.1,gemma,answering,short, , , , , , , , , , 
run_33_repetition_2,TODO,v1.1,gemma,answering,long, , , , , , , , , , 
run_34_repetition_2,TODO,v1.1,gemma,summarization,short, , , , , , , , , , 
run_35_repetition_2,TODO,v1.1,gemma,summarization,long, , , , , , , , , , 
run_36_repetition_2,TODO,v1.5,qwen,generation,short, , , , , , , , , , 
run_37_repetition_2,TODO,v1.5,qwen,generation,long, , , , , , , , , , 
run_38_repetition_2,TODO,v1.5,qwen,answering,short, , , , , , , , , , 
run_39_repetition_2,TODO,v1.5,qwen,answering,long, , , , , , , , , , 
run_40_repetition_2,TODO,v1.5,qwen,summarization,short, , , , , , , , , , 
run_41_repetition_2,TODO,v1.5,qwen,summarization,long, , , , , , , , , , 
run_42_repetition_2,TODO,v2,gemma,generation,short, , , , , , , , , , 
run_43_repetition_2,TODO,v2,gemma,generation,long, , , , , , , , , , 
run_44_repetition_2,TODO,v2,gemma,answering,short, , , , , , , , , , 
run_45_repetition_2,TODO,v2,gemma,answering,long, , , , , , , , , , 
run_46_repetition_2,TODO,v2,gemma,summarization,short, , , , , , , , , , 
run_47_repetition_2,TODO,v2,gemma,summarization,long, , , , , , , , , , 
run_48_repetition_2,TODO,v2,qwen,generation,short, , , , , , , , , , 
run_49_repetition_2,TODO,v2,qwen,generation,long, , , , , , , , , , 
run_50_repetition_2,TODO,v2,qwen,answering,short, , , , , , , , , , 
run_51_repetition_2,TODO,v2,qwen,answering,long, , , , , , , , , , 
run_52_repetition_2,TODO,v2,qwen,summarization,short, , , , , , , , , , 
run_53_repetition_2,TODO,v2,qwen,summarization,long, , , , , , , , , , 
run_54_repetition_2,TODO,v2.5,qwen,generation,short, , , , , , , , , , 
run_55_repetition_2,TODO,v2.5,qwen,generation,long, , , , , , , , , , 
run_56_repetition_2,TODO,v2.5,qwen,answering,short, , , , , , , , , , 
run_57_repetition_2,TODO,v2.5,qwen,answering,long, , , , , , , , , , 
run_58_repetition_2,TODO,v2.5,qwen,summarization,short, , , , , , , , , , 
run_59_repetition_2,TODO,v2.5,qwen,summarization,long, , , , , , , , , , 
run_0_repetition_3,TODO,v0.1,mistral,generation,short, , , , , , , , , , 
run_1_repetition_3,TODO,v0.1,mistral,generation,long, , , , , , , , , , 
run_2_repetition_3,TODO,v0.1,mistral,answering,short, , , , , , , , , , 
run_3_repetition_3,TODO,v0.1,mistral,answering,long, , , , , , , , , , 
run_4_repetition_3,TODO,v0.1,mistral,summarization,short, , , , , , , , , , 
run_5_repetition_3,TODO,v0.1,mistral,summarization,long, , , , , , , , , , 
run_6_repetition_3,TODO,v0.2,mistral,generation,short, , , , , , , , , , 
run_7_repetition_3,TODO,v0.2,mistral,generation,long, , , , , , , , , , 
run_8_repetition_3,TODO,v0.2,mistral,answering,short, , , , , , , , , , 
run_9_repetition_3,TODO,v0.2,mistral,answering,long, , , , , , , , , , 
run_10_repetition_3,TODO,v0.2,mistral,summarization,short, , , , , , , , , , 
run_11_repetition_3,TODO,v0.2,mistral,summarization,long, , , , , , , , , , 
run_12_repetition_3,TODO,v0.3,mistral,generation,short, , , , , , , , , , 
run_13_repetition_3,TODO,v0.3,mistral,generation,long, , , , , , , , , , 
run_14_repetition_3,TODO,v0.3,mistral,answering,short, , , , , , , , , , 
run_15_repetition_3,TODO,v0.3,mistral,answering,long, , , , , , , , , , 
run_16_repetition_3,TODO,v0.3,mistral,summarization,short, , , , , , , , , , 
run_17_repetition_3,TODO,v0.3,mistral,summarization,long, , , , , , , , , , 
run_18_repetition_3,TODO,v1,gemma,generation,short, , , , , , , , , , 
run_19_repetition_3,TODO,v1,gemma,generation,long, , , , , , , , , , 
run_20_repetition_3,TODO,v1,gemma,answering,short, , , , , , , , , , 
run_21_repetition_3,TODO,v1,gemma,answering,long, , , , , , , , , , 
run_22_repetition_3,TODO,v1,gemma,summarization,short, , , , , , , , , , 
run_23_repetition_3,TODO,v1,gemma,summarization,long, , , , , , , , , , 
run_24_repetition_3,TODO,v1,qwen,generation,short, , , , , , , , , , 
run_25_repetition_3,TODO,v1,qwen,generation,long, , , , , , , , , , 
run_26_repetition_3,TODO,v1,qwen,answering,short, , , , , , , , , , 
run_27_repetition_3,TODO,v1,qwen,answering,long, , , , , , , , , , 
run_28_repetition_3,TODO,v1,qwen,summarization,short, , , , , , , , , , 
run_29_repetition_3,TODO,v1,qwen,summarization,long, , , , , , , , , , 
run_30_repetition_3,TODO,v1.1,gemma,generation,short, , , , , , , , , , 
run_31_repetition_3,TODO,v1.1,gemma,generation,long, , , , , , , , , , 
run_32_repetition_3,TODO,v1.1,gemma,answering,short, , , , , , , , , , 
run_33_repetition_3,TODO,v1.1,gemma,answering,long, , , , , , , , , , 
run_34_repetition_3,TODO,v1.1,gemma,summarization,short, , , , , , , , , , 
run_35_repetition_3,TODO,v1.1,gemma,summarization,long, , , , , , , , , , 
run_36_repetition_3,TODO,v1.5,qwen,generation,short, , , , , , , , , , 
run_37_repetition_3,TODO,v1.5,qwen,generation,long, , , , , , , , , , 
run_38_repetition_3,TODO,v1.5,qwen,answering,short, , , , , , , , , , 
run_39_repetition_3,TODO,v1.5,qwen,answering,long, , , , , , , , , , 
run_40_repetition_3,TODO,v1.5,qwen,summarization,short, , , , , , , , , , 
run_41_repetition_3,TODO,v1.5,qwen,summarization,long, , , , , , , , , , 
run_42_repetition_3,TODO,v2,gemma,generation,short, , , , , , , , , , 
run_43_repetition_3,TODO,v2,gemma,generation,long, , , , , , , , , , 
run_44_repetition_3,TODO,v2,gemma,answering,short, , , , , , , , , , 
run_45_repetition_3,TODO,v2,gemma,answering,long, , , , , , , , , , 
run_46_repetition_3,TODO,v2,gemma,summarization,short, , , , , , , , , , 
run_47_repetition_3,TODO,v2,gemma,summarization,long, , , , , , , , , , 
run_48_repetition_3,TODO,v2,qwen,generation,short, , , , , , , , , , 
run_49_repetition_3,TODO,v2,qwen,generation,long, , , , , , , , , , 
run_50_repetition_3,TODO,v2,qwen,answering,short, , , , , , , , , , 
run_51_repetition_3,TODO,v2,qwen,answering,long, , , , , , , , , , 
run_52_repetition_3,TODO,v2,qwen,summarization,short, , , , , , , , , , 
run_53_repetition_3,TODO,v2,qwen,summarization,long, , , , , , , , , , 
run_54_repetition_3,TODO,v2.5,qwen,generation,short, , , , , , , , , , 
run_55_repetition_3,TODO,v2.5,qwen,generation,long, , , , , , , , , , 
run_56_repetition_3,TODO,v2.5,qwen,answering,short, , , , , , , , , , 
run_57_repetition_3,TODO,v2.5,qwen,answering,long, , , , , , , , , , 
run_58_repetition_3,TODO,v2.5,qwen,summarization,short, , , , , , , , , , 
run_59_repetition_3,TODO,v2.5,qwen,summarization,long, , , , , , , , , , 
run_0_repetition_4,TODO,v0.1,mistral,generation,short, , , , , , , , , , 
run_1_repetition_4,TODO,v0.1,mistral,generation,long, , , , , , , , , , 
run_2_repetition_4,TODO,v0.1,mistral,answering,short, , , , , , , , , , 
run_3_repetition_4,TODO,v0.1,mistral,answering,long, , , , , , , , , , 
run_4_repetition_4,TODO,v0.1,mistral,summarization,short, , , , , , , , , , 
run_5_repetition_4,TODO,v0.1,mistral,summarization,long, , , , , , , , , , 
run_6_repetition_4,TODO,v0.2,mistral,generation,short, , , , , , , , , , 
run_7_repetition_4,TODO,v0.2,mistral,generation,long, , , , , , , , , , 
run_8_repetition_4,TODO,v0.2,mistral,answering,short, , , , , , , , , , 
run_9_repetition_4,TODO,v0.2,mistral,answering,long, , , , , , , , , , 
run_10_repetition_4,TODO,v0.2,mistral,summarization,short, , , , , , , , , , 
run_11_repetition_4,TODO,v0.2,mistral,summarization,long, , , , , , , , , , 
run_12_repetition_4,TODO,v0.3,mistral,generation,short, , , , , , , , , , 
run_13_repetition_4,TODO,v0.3,mistral,generation,long, , , , , , , , , , 
run_14_repetition_4,TODO,v0.3,mistral,answering,short, , , , , , , , , , 
run_15_repetition_4,TODO,v0.3,mistral,answering,long, , , , , , , , , , 
run_16_repetition_4,TODO,v0.3,mistral,summarization,short, , , , , , , , , , 
run_17_repetition_4,TODO,v0.3,mistral,summarization,long, , , , , , , , , , 
run_18_repetition_4,TODO,v1,gemma,generation,short, , , , , , , , , , 
run_19_repetition_4,TODO,v1,gemma,generation,long, , , , , , , , , , 
run_20_repetition_4,TODO,v1,gemma,answering,short, , , , , , , , , , 
run_21_repetition_4,TODO,v1,gemma,answering,long, , , , , , , , , , 
run_22_repetition_4,TODO,v1,gemma,summarization,short, , , , , , , , , , 
run_23_repetition_4,TODO,v1,gemma,summarization,long, , , , , , , , , , 
run_24_repetition_4,TODO,v1,qwen,generation,short, , , , , , , , , , 
run_25_repetition_4,TODO,v1,qwen,generation,long, , , , , , , , , , 
run_26_repetition_4,TODO,v1,qwen,answering,short, , , , , , , , , , 
run_27_repetition_4,TODO,v1,qwen,answering,long, , , , , , , , , , 
run_28_repetition_4,TODO,v1,qwen,summarization,short, , , , , , , , , , 
run_29_repetition_4,TODO,v1,qwen,summarization,long, , , , , , , , , , 
run_30_repetition_4,TODO,v1.1,gemma,generation,short, , , , , , , , , , 
run_31_repetition_4,TODO,v1.1,gemma,generation,long, , , , , , , , , , 
run_32_repetition_4,TODO,v1.1,gemma,answering,short, , , , , , , , , , 
run_33_repetition_4,TODO,v1.1,gemma,answering,long, , , , , , , , , , 
run_34_repetition_4,TODO,v1.1,gemma,summarization,short, , , , , , , , , , 
run_35_repetition_4,TODO,v1.1,gemma,summarization,long, , , , , , , , , , 
run_36_repetition_4,TODO,v1.5,qwen,generation,short, , , , , , , , , , 
run_37_repetition_4,TODO,v1.5,qwen,generation,long, , , , , , , , , , 
run_38_repetition_4,TODO,v1.5,qwen,answering,short, , , , , , , , , , 
run_39_repetition_4,TODO,v1.5,qwen,answering,long, , , , , , , , , , 
run_40_repetition_4,TODO,v1.5,qwen,summarization,short, , , , , , , , , , 
run_41_repetition_4,TODO,v1.5,qwen,summarization,long, , , , , , , , , , 
run_42_repetition_4,TODO,v2,gemma,generation,short, , , , , , , , , , 
run_43_repetition_4,TODO,v2,gemma,generation,long, , , , , , , , , , 
run_44_repetition_4,TODO,v2,gemma,answering,short, , , , , , , , , , 
run_45_repetition_4,TODO,v2,gemma,answering,long, , , , , , , , , , 
run_46_repetition_4,TODO,v2,gemma,summarization,short, , , , , , , , , , 
run_47_repetition_4,TODO,v2,gemma,summarization,long, , , , , , , , , , 
run_48_repetition_4,TODO,v2,qwen,generation,short, , , , , , , , , , 
run_49_repetition_4,TODO,v2,qwen,generation,long, , , , , , , , , , 
run_50_repetition_4,TODO,v2,qwen,answering,short, , , , , , , , , , 
run_51_repetition_4,TODO,v2,qwen,answering,long, , , , , , , , , , 
run_52_repetition_4,TODO,v2,qwen,summarization,short, , , , , , , , , , 
run_53_repetition_4,TODO,v2,qwen,summarization,long, , , , , , , , , , 
run_54_repetition_4,TODO,v2.5,qwen,generation,short, , , , , , , , , , 
run_55_repetition_4,TODO,v2.5,qwen,generation,long, , , , , , , , , , 
run_56_repetition_4,TODO,v2.5,qwen,answering,short, , , , , , , , , , 
run_57_repetition_4,TODO,v2.5,qwen,answering,long, , , , , , , , , , 
run_58_repetition_4,TODO,v2.5,qwen,summarization,short, , , , , , , , , , 
run_59_repetition_4,TODO,v2.5,qwen,summarization,long, , , , , , , , , , 
run_0_repetition_5,TODO,v0.1,mistral,generation,short, , , , , , , , , , 
run_1_repetition_5,TODO,v0.1,mistral,generation,long, , , , , , , , , , 
run_2_repetition_5,TODO,v0.1,mistral,answering,short, , , , , , , , , , 
run_3_repetition_5,TODO,v0.1,mistral,answering,long, , , , , , , , , , 
run_4_repetition_5,TODO,v0.1,mistral,summarization,short, , , , , , , , , , 
run_5_repetition_5,TODO,v0.1,mistral,summarization,long, , , , , , , , , , 
run_6_repetition_5,TODO,v0.2,mistral,generation,short, , , , , , , , , , 
run_7_repetition_5,TODO,v0.2,mistral,generation,long, , , , , , , , , , 
run_8_repetition_5,TODO,v0.2,mistral,answering,short, , , , , , , , , , 
run_9_repetition_5,TODO,v0.2,mistral,answering,long, , , , , , , , , , 
run_10_repetition_5,TODO,v0.2,mistral,summarization,short, , , , , , , , , , 
run_11_repetition_5,TODO,v0.2,mistral,summarization,long, , , , , , , , , , 
run_12_repetition_5,TODO,v0.3,mistral,generation,short, , , , , , , , , , 
run_13_repetition_5,TODO,v0.3,mistral,generation,long, , , , , , , , , , 
run_14_repetition_5,TODO,v0.3,mistral,answering,short, , , , , , , , , , 
run_15_repetition_5,TODO,v0.3,mistral,answering,long, , , , , , , , , , 
run_16_repetition_5,TODO,v0.3,mistral,summarization,short, , , , , , , , , , 
run_17_repetition_5,TODO,v0.3,mistral,summarization,long, , , , , , , , , , 
run_18_repetition_5,TODO,v1,gemma,generation,short, , , , , , , , , , 
run_19_repetition_5,TODO,v1,gemma,generation,long, , , , , , , , , , 
run_20_repetition_5,TODO,v1,gemma,answering,short, , , , , , , , , , 
run_21_repetition_5,TODO,v1,gemma,answering,long, , , , , , , , , , 
run_22_repetition_5,TODO,v1,gemma,summarization,short, , , , , , , , , , 
run_23_repetition_5,TODO,v1,gemma,summarization,long, , , , , , , , , , 
run_24_repetition_5,TODO,v1,qwen,generation,short, , , , , , , , , , 
run_25_repetition_5,TODO,v1,qwen,generation,long, , , , , , , , , , 
run_26_repetition_5,TODO,v1,qwen,answering,short, , , , , , , , , , 
run_27_repetition_5,TODO,v1,qwen,answering,long, , , , , , , , , , 
run_28_repetition_5,TODO,v1,qwen,summarization,short, , , , , , , , , , 
run_29_repetition_5,TODO,v1,qwen,summarization,long, , , , , , , , , , 
run_30_repetition_5,TODO,v1.1,gemma,generation,short, , , , , , , , , , 
run_31_repetition_5,TODO,v1.1,gemma,generation,long, , , , , , , , , , 
run_32_repetition_5,TODO,v1.1,gemma,answering,short, , , , , , , , , , 
run_33_repetition_5,TODO,v1.1,gemma,answering,long, , , , , , , , , , 
run_34_repetition_5,TODO,v1.1,gemma,summarization,short, , , , , , , , , , 
run_35_repetition_5,TODO,v1.1,gemma,summarization,long, , , , , , , , , , 
run_36_repetition_5,TODO,v1.5,qwen,generation,short, , , , , , , , , , 
run_37_repetition_5,TODO,v1.5,qwen,generation,long, , , , , , , , , , 
run_38_repetition_5,TODO,v1.5,qwen,answering,short, , , , , , , , , , 
run_39_repetition_5,TODO,v1.5,qwen,answering,long, , , , , , , , , , 
run_40_repetition_5,TODO,v1.5,qwen,summarization,short, , , , , , , , , , 
run_41_repetition_5,TODO,v1.5,qwen,summarization,long, , , , , , , , , , 
run_42_repetition_5,TODO,v2,gemma,generation,short, , , , , , , , , , 
run_43_repetition_5,TODO,v2,gemma,generation,long, , , , , , , , , , 
run_44_repetition_5,TODO,v2,gemma,answering,short, , , , , , , , , , 
run_45_repetition_5,TODO,v2,gemma,answering,long, , , , , , , , , , 
run_46_repetition_5,TODO,v2,gemma,summarization,short, , , , , , , , , , 
run_47_repetition_5,TODO,v2,gemma,summarization,long, , , , , , , , , , 
run_48_repetition_5,TODO,v2,qwen,generation,short, , , , , , , , , , 
run_49_repetition_5,TODO,v2,qwen,generation,long, , , , , , , , , , 
run_50_repetition_5,TODO,v2,qwen,answering,short, , , , , , , , , , 
run_51_repetition_5,TODO,v2,qwen,answering,long, , , , , , , , , , 
run_52_repetition_5,TODO,v2,qwen,summarization,short, , , , , , , , , , 
run_53_repetition_5,TODO,v2,qwen,summarization,long, , , , , , , , , , 
run_54_repetition_5,TODO,v2.5,qwen,generation,short, , , , , , , , , , 
run_55_repetition_5,TODO,v2.5,qwen,generation,long, , , , , , , , , , 
run_56_repetition_5,TODO,v2.5,qwen,answering,short, , , , , , , , , , 
run_57_repetition_5,TODO,v2.5,qwen,answering,long, , , , , , , , , , 
